id,userId,eventId,status,grading_status,verified_date,quarter,number_idea_submitted_student,number_idea_submitted_faculty,number_applications_selected,financial_year,event_driven,activity_name,event_type,event_theme,activity_lead,from_date,to_date,days,internal_participant,student_participants,faculty_participants,expenditure_amount,faculty_member,student_member,remark,session_type,video,resolution_report,quarterly_plan,report,photo1,photo2,month,other,otherProgramType,Objective,descriptions,benefit_learning,totalmarks,twitter_url,facebook_url,instagram_url,verified,expected_level,comments,super_evaluator_status,created_date,flag_check,acadmic_year,activity_duration,verifiedBy,status_eval_1,duration,linkedin_url,review_request,Overall Score,Status,Requirements Not Met
310656,IC201810282,C24-25240245,Submitted,0,,Quarter I,,,,2024-25,1,Idea Showcase: Demo Day/Exhibition/Poster Presentation of Ideas/PoC & linkage with Innovation Ambassadors/Experts for Mentorship Support.,Level 2 - Competition,Entrepreneurship & Startup,,11/14/2024,11/14/2024,0,0,89,0,,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/2911-13112024062642-IC201810282.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/6225-13112024062641-IC201810282.JPG,uploads-2024-25/institutes/monthlyReport/Photograph2/4448-13112024062642-IC201810282.jpg,0,,,Provide a platform for students to present their ideology.,,Students Developed their presentation skills,,0,0,0,,,,,13-11-2024 11:56,,2024-25,5,,submitted,,0,,50,Rejected,PDF title matches metadata: PDF text not extracted; Expert details present: PDF text not extracted; Learning outcomes align: PDF text not extracted; Objectives match: PDF text not extracted; Participant info matches: PDF text not extracted; Event scene is real activity: Image does not depict a real event activity; Event mode matches (online/offline): Event mode in image does not match specified mode: offline; 20+ participants visible: 20+ participants not visible in images
310784,IC201811102,C24-25240239,Submitted,0,,Quarter I,,,,2024-25,1,My Story - Motivational Session by Successful Innovators,Level 1 - Expert Talk,Entrepreneurship & Startup,,10-07-2024,10-07-2024,0,0,84,2,3000,,,nil,offline,https://drive.google.com/file/d/1xwPjlR518emU9QjfZJ7x5gXJDGY1Uhfs/view,,,uploads-2024-25/institutes/monthlyReport/report/3286-19112024065221-IC201811102.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/3991-19112024065221-IC201811102.jpeg,uploads-2024-25/institutes/monthlyReport/Photograph2/5518-19112024065221-IC201811102.jpeg,0,,,To emphasize the importance of cultivating a comprehensive and unwavering belief system.,,"To discuss and experience the theory of manifestation suggests that focusing on a goal with thoughts, feelings, and actions can bring about  outcome",,0,https://www.facebook.com/mahendrainstitutionsofficial/?locale=es_ES&_rdr,0,,,,,19-11-2024 12:03,,2024-25,1.5,,submitted,,0,,37,Rejected,"Title/Objectives/Learning align to theme: Content does not match canonical event title. Expected: ""Level 1 - Expert Talk - on Entrepreneurship & Startup"". Observed: ""My Story - Motivational Session by Successful Innovators"". Reason: Content does not semantically align with declared theme; Level matches duration: Level or Duration missing/invalid. Level: , Duration: 1.5h; PDF title matches metadata: PDF text not extracted; Expert details present: PDF text not extracted; Learning outcomes align: PDF text not extracted; Objectives match: PDF text not extracted; Participant info matches: PDF text not extracted; 20+ participants visible: 20+ participants not visible in images"
310863,IC201810132,C24-25240239,Submitted,0,,Quarter I,,,,2024-25,1,My Story - Motivational Session by Successful Innovators,Level 1 - Mentoring Session,Innovation & Design Thinking,,09/26/2024,09/26/2024,0,0,155,5,0,,,"Mrs. Gajalakshmi. B, Certified Aari Work Trainer, RSETI, Vellore",offline,,,,uploads-2024-25/institutes/monthlyReport/report/3089-20112024063540-IC201810132.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/4154-20112024063540-IC201810132.jpeg,uploads-2024-25/institutes/monthlyReport/Photograph2/9986-20112024063540-IC201810132.jpeg,0,,,To inspire participants through success stories of innovators who served as resource persons,,Participants inspired by the trending craft ideas and discussed how to effectively market them through social media and other location-based marketing,,https://twitter.com/DkmInfo,https://www.facebook.com/dhanabagiyam.mudaliar,0,,,,,20-11-2024 12:05,,2024-25,1,,submitted,,0,,35,Rejected,"Title/Objectives/Learning align to theme: Content does not match canonical event title. Expected: ""Level 1 - Mentoring Session - on Innovation & Design Thinking"". Observed: ""My Story - Motivational Session by Successful Innovators"". Reason: Content does not semantically align with declared theme; Level matches duration: Level or Duration missing/invalid. Level: , Duration: 1.0h; PDF title matches metadata: PDF text not extracted; Expert details present: PDF text not extracted; Learning outcomes align: PDF text not extracted; Objectives match: PDF text not extracted; Participant info matches: PDF text not extracted; Banner/Poster visible: Banner or poster not visible in images; 20+ participants visible: 20+ participants not visible in images"
310866,IC201810132,C24-25240198,Submitted,0,,Quarter I,,,,2024-25,1,Workshop on Entrepreneurship and Innovation as Career Opportunity,Level 1 - Expert Talk,Entrepreneurship & Startup,,09/26/2024,09/26/2024,0,0,150,5,0,,,"Dr. A. Kalaiselvi, Assistant Professor, Department of Management studies, DKMC",offline,,,,uploads-2024-25/institutes/monthlyReport/report/7817-20112024064355-IC201810132.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/3829-20112024064355-IC201810132.jpeg,uploads-2024-25/institutes/monthlyReport/Photograph2/1781-20112024064355-IC201810132.jpeg,0,,,To create an awareness about the different schemes available to students to become an entreprene,,Students would understand the concept of entreprenuership and its features,,https://twitter.com/DkmInfo,https://www.facebook.com/dhanabagiyam.mudaliar,0,,,,,20-11-2024 12:13,,2024-25,1,,submitted,,0,,47,Rejected,"Level matches duration: Level or Duration missing/invalid. Level: , Duration: 1.0h; PDF title matches metadata: PDF text not extracted; Expert details present: PDF text not extracted; Learning outcomes align: PDF text not extracted; Objectives match: PDF text not extracted; Participant info matches: PDF text not extracted; 20+ participants visible: 20+ participants not visible in images"
310917,IC201810132,C24-25240240,Submitted,0,,Quarter I,,,,2024-25,1,From Idea to Impact - Motivational Session by Successful Entrepreneur/Start-up Founder,Level 1 - Expert Talk,Entrepreneurship & Startup,,09/30/2024,09/30/2024,0,0,100,6,0,,,"Mrs. Nirosha Aravind, Founder, Miracle Nursery School and Day Care,",offline,,,,uploads-2024-25/institutes/monthlyReport/report/9757-20112024093624-IC201810132.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/1075-20112024093624-IC201810132.jpeg,uploads-2024-25/institutes/monthlyReport/Photograph2/3820-20112024093624-IC201810132.jpeg,0,,,To empower students with confidence to pursue their dreams and overcome obstacles,,Students were inspired and motivated to pursue their goals despite challenges,,https://twitter.com/DkmInfo,https://www.facebook.com/dhanabagiyam.mudaliar,0,,,,,20-11-2024 15:06,,2024-25,1,,submitted,,0,,47,Rejected,"Level matches duration: Level or Duration missing/invalid. Level: , Duration: 1.0h; PDF title matches metadata: PDF text not extracted; Expert details present: PDF text not extracted; Learning outcomes align: PDF text not extracted; Objectives match: PDF text not extracted; Participant info matches: PDF text not extracted; 20+ participants visible: 20+ participants not visible in images"
310980,IC201810146,C24-25240242,Submitted,0,,Quarter I,,,,2024-25,1,Basics of Intellectual Property Rights and Its Importance for Innovators and Entrepreneurs.,Level 1 - Expert Talk,Entrepreneurship & Startup,,11-06-2024,11-06-2024,0,0,40,19,3000,,,,online,https://drive.google.com/file/d/1CNpuqvmzVh4LFu012BaWyXn6cyQPb8KA/view?usp=sharing,,,uploads-2024-25/institutes/monthlyReport/report/4387-21112024065610-IC201810146.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/7048-21112024065610-IC201810146.jpeg,uploads-2024-25/institutes/monthlyReport/Photograph2/8492-21112024065610-IC201810146.jpeg,0,,,Introduce IPR concepts Its Benefits and Challenges,,Understood IPR Concepts and able to apply for their innovations,,,,,,,,,21-11-2024 12:25,,2024-25,2,,submitted,,,,58,Rejected,PDF title matches metadata: PDF text not extracted; Expert details present: PDF text not extracted; Learning outcomes align: PDF text not extracted; Objectives match: PDF text not extracted; Participant info matches: PDF text not extracted; 20+ participants visible: 20+ participants not visible in images
311025,IC201811163,C24-25240239,Submitted,0,,Quarter I,,,,2024-25,1,My Story - Motivational Session by Successful Innovators,Level 2 - Seminar,Innovation & Design Thinking,,09/20/2024,09/20/2024,0,2,100,5,1000,,,Well and good,offline,https://www.instagram.com/reel/DBLGZ4os0yg/?igsh=MWMzaWE2d2QzaWVncA==,,,uploads-2024-25/institutes/monthlyReport/report/9847-21112024104300-IC201811163.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/1807-21112024104300-IC201811163.jpg,uploads-2024-25/institutes/monthlyReport/Photograph2/7520-21112024104300-IC201811163.jpg,0,,,The process to transform idea in to reality. 3. To make them aware on benefits of idea generation.,,"Everyone has a story. And, as anyone who has gone through a challenging life event can attest, those stories can have a power all their own.",,0,0,,,,,,21-11-2024 16:13,,2024-25,1.3,,submitted,,0,,53,Rejected,"Title/Objectives/Learning align to theme: Content does not match canonical event title. Expected: ""Level 2 - Seminar - on Innovation & Design Thinking"". Observed: ""My Story - Motivational Session by Successful Innovators"". Reason: Content does not semantically align with declared theme; Level matches duration: Level or Duration missing/invalid. Level: , Duration: 1.3h; Learning outcomes align: Learning outcomes in PDF do not align with expected outcomes; Objectives match: Objectives in PDF do not match expected objectives; Event scene is real activity: Image does not depict a real event activity; 20+ participants visible: 20+ participants not visible in images"
311027,IC201811163,C24-25240243,Submitted,0,,Quarter I,,,,2024-25,1,Exposure and field visit for problem identification: Aligning with UN SDGs and Exploring Emerging Areas of Technologies,Level 2 - Seminar,Innovation & Design Thinking,,10/18/2024,10/18/2024,0,2,100,5,1000,,,gain some knowledge about that.,offline,https://www.instagram.com/reel/DBLGvK1MXWa/?igsh=NTlpajNhNDU3a2Rt,,,uploads-2024-25/institutes/monthlyReport/report/2186-21112024105754-IC201811163.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/7657-21112024105754-IC201811163.jpg,uploads-2024-25/institutes/monthlyReport/Photograph2/1780-21112024105754-IC201811163.jpg,0,,,Exposure visits are a very important training methodology as it enables the participants.,,Exposure visits are organised so that people living in one place can visit another location to observe and learn from the other community's developmen,,0,0,,,,,,21-11-2024 16:27,,2024-25,1.3,,submitted,,0,,58,Rejected,"Level matches duration: Level or Duration missing/invalid. Level: , Duration: 1.3h; Learning outcomes align: Learning outcomes in PDF do not align with expected outcomes; Objectives match: Objectives in PDF do not match expected objectives; Participant info matches: PDF participant information does not match expected (needs 20+ participants); Event scene is real activity: Image does not depict a real event activity; 20+ participants visible: 20+ participants not visible in images"
311138,IC201810341,C24-25240243,Submitted,0,,Quarter I,,,,2024-25,1,Exposure and field visit for problem identification: Aligning with UN SDGs and Exploring Emerging Areas of Technologies,Level 1 - Exposure Visit,Innovation & Design Thinking,,09/28/2024,09/28/2024,0,,50,3,,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/6211-22112024191718-IC201810341.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/3837-22112024191718-IC201810341.jpeg,uploads-2024-25/institutes/monthlyReport/Photograph2/5368-22112024191718-IC201810341.jpeg,0,,,"To provide marketing students with practical insights into retail operations, strategies, and custom",,"Students gained real-world knowledge of retail dynamics, merchandising, impulse buying tactics, and the application of data-driven decision-making.",,0,0,https://www.instagram.com/p/DAcyGfdzM4P/?igsh=MW92YXMweXRtaWFpOA==,,,,,23-11-2024 00:27,,2024-25,2,,submitted,,0,,54,Rejected,"Title/Objectives/Learning align to theme: Content does not match canonical event title. Expected: ""Level 1 - Exposure Visit - on Innovation & Design Thinking"". Observed: ""Exposure and field visit for problem identification: Aligning with UN SDGs and Exploring Emerging Areas of Technologies"". Reason: Content does not semantically align with declared theme; PDF title matches metadata: PDF title does not match expected: Exposure and field visit for problem identification: Aligning with UN SDGs and Exploring Emerging Areas of Technologies; Expert details present: Expert details not found in PDF; Participant info matches: PDF participant information does not match expected (needs 20+ participants); 20+ participants visible: 20+ participants not visible in images"
311141,IC201810341,C24-25240198,Submitted,0,,Quarter I,,,,2024-25,1,Workshop on Entrepreneurship and Innovation as Career Opportunity,Level 2 - Workshop,Entrepreneurship & Startup,,10-03-2024,10-03-2024,0,0,189,2,,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/6055-22112024194307-IC201810341.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/5772-22112024194306-IC201810341.png,uploads-2024-25/institutes/monthlyReport/Photograph2/6749-22112024194307-IC201810341.png,0,,,"Inspire students on entrepreneurship, sustainability, and brand building through digital marketing.",,"Gained insights on entrepreneurship, sustainability, digital marketing, customer-centric strategies, innovation, and operational excellence in cafe",,0,0,https://www.instagram.com/p/DAsrIvaTbii/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,,23-11-2024 01:12,,2024-25,1,,submitted,,https://www.linkedin.com/posts/imikolkata_guest-lecture-activity-7247907762452512768-hiyp?utm_source=share&utm_medium=member_android,,59,Rejected,"Level matches duration: Level or Duration missing/invalid. Level: , Duration: 1.0h; Participant info matches: PDF participant information does not match expected (needs 20+ participants); Event scene is real activity: Image does not depict a real event activity; Event mode matches (online/offline): Event mode in image does not match specified mode: offline; 20+ participants visible: 20+ participants not visible in images"
