id,userId,eventId,status,grading_status,verified_date,quarter,number_idea_submitted_student,number_idea_submitted_faculty,number_applications_selected,financial_year,event_driven,activity_name,event_type,event_theme,activity_lead,from_date,to_date,days,internal_participant,student_participants,faculty_participants,expenditure_amount,faculty_member,student_member,remark,session_type,video,resolution_report,quarterly_plan,report,photo1,photo2,month,other,otherProgramType,Objective,descriptions,benefit_learning,totalmarks,twitter_url,facebook_url,instagram_url,verified,expected_level,comments,super_evaluator_status,created_date,flag_check,acadmic_year,activity_duration,verifiedBy,status_eval_1,duration,linkedin_url,review_request
329268,IC202115563,C24-25240853,Submitted,0,,Quarter II,,,,2024-25,1,Workshop on Effective Sales and Marketing Strategies for Entrepreneurs /Start-ups,Level 4 - Workshop,Entrepreneurship & Startup,,02/25/2025,02/25/2025,0,5.0,250,5,5000.0,,,Marketing Demo Given,offline,https://youtu.be/1XTRC2eAtT4,,,uploads-2024-25/institutes/monthlyReport/report/7914-08032025130905-IC202115563.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/4699-08032025130905-IC202115563.jpg,uploads-2024-25/institutes/monthlyReport/Photograph2/3071-08032025130905-IC202115563.jpg,0,,,To organize a session on Workshop on Effective Sales and Marketing Strategies for Entrepreneurs.,,Students came to know about Effective Sales and Marketing Strategies for Entrepreneurs.,,0,0,https://www.instagram.com/p/DGhBpQnzihX/?igsh=bXlmczM5amhlcnBz,,,,,2025-03-08 18:39:05,,2024-25,5.0,,submitted,,0,
329269,IC201912864,C24-25240853,Submitted,0,,Quarter II,,,,2024-25,1,Workshop on Effective Sales and Marketing Strategies for Entrepreneurs /Start-ups,Level 1 - Expert Talk,Entrepreneurship & Startup,,02/19/2025,02/19/2025,0,,50,12,,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/1237-08032025130950-IC201912864.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/9567-08032025130950-IC201912864.jpg,uploads-2024-25/institutes/monthlyReport/Photograph2/1714-08032025130950-IC201912864.jpg,0,,,The objective of the session was to create awreness about the effective sales and marketing strategi,,All the students and staff got benefitted by this session.The speaker clearly edplained about the strategies for entrepreneurs and startups.He told ab,,0,0,vmcpmhrdiic,,,,,2025-03-08 18:39:50,,2024-25,3.0,,submitted,,0,
329275,IC202115563,C24-25240852,Submitted,0,,Quarter II,,,,2024-25,1,"Expert talk on ""Process of Innovation Development & Technology Readiness Level (TRL)"" & ""Commercialization of Lab Technologies & Tech-Transfer""",Level 3 - Exposure Visit,Innovation & Design Thinking,,02/27/2025,02/27/2025,0,5.0,30,3,2000.0,,,Field Visit,offline,https://youtube.com/shorts/9h9OMj2rO9k?feature=share05:20 PM,,,uploads-2024-25/institutes/monthlyReport/report/6458-08032025131858-IC202115563.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/1685-08032025131858-IC202115563.jpg,uploads-2024-25/institutes/monthlyReport/Photograph2/4504-08032025131858-IC202115563.jpg,0,,,To organize a session on Training Session on Commercialisation of Lab Technologies & Tech-Transfer.,,Students came to know the ways of Commercialisation of Lab Technologies & Tech-Transfer.,,0,0,https://www.instagram.com/p/DGkwYKzT7uz/?igsh=djFjb3hwOWxveXph,,,,,2025-03-08 18:48:58,,2024-25,3.0,,submitted,,0,
329295,IC202216773,C24-25240852,Submitted,0,,Quarter II,,,,2024-25,1,"Expert talk on ""Process of Innovation Development & Technology Readiness Level (TRL)"" & ""Commercialization of Lab Technologies & Tech-Transfer""",Level 2 - Workshop,IPR & Technology Transfer,,01/14/2025,01/14/2025,0,,25,5,,,,,offline,https://www.instagram.com/reel/DG8LcFLNm2X/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,uploads-2024-25/institutes/monthlyReport/report/4581-08032025140333-IC202216773.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/7031-08032025140332-IC202216773.jpeg,uploads-2024-25/institutes/monthlyReport/Photograph2/6143-08032025140333-IC202216773.jpeg,0,,,"To impart knowledge on innovation, TRL, and tech-transfer for entrepreneurial growth.",,"Gain insights on innovation, TRL, and tech-transfer to transform ideas into market-ready solutions and foster entrepreneurial skills.",,0,0,,,,,,2025-03-08 19:33:33,,2024-25,5.0,,submitted,,0,
329297,IC202115945,C24-25240889,Submitted,0,,Quarter II,,,,2024-25,1,Organize an Inter/Intra Institutional Innovation Competition/Challenge/Hackathon and Reward the Best Innovations and deposition in the Institution’s YUKTI Innovation Repository,Level 3 - Competition/Hacakthon,Innovation & Design Thinking,,2025-02-01 00:00:00,2025-03-01 00:00:00,1,,96,5,,,,,offline,https://youtu.be/_YuDeGvtCD4?feature=shared,,,uploads-2024-25/institutes/monthlyReport/report/1941-08032025141426-IC202115945.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/7367-08032025141425-IC202115945.jpg,uploads-2024-25/institutes/monthlyReport/Photograph2/8776-08032025141425-IC202115945.jpg,0,,,to explore and analyze the latest advancements in Information Technology & challenges associated,,"Staying Updated with Emerging Technologies, Identifying Challenges and Finding Solutions and Enhancing Security and Privacy",,0,https://www.facebook.com/profile.php?id=100064721261475&mibextid=JRoKGi,https://www.instagram.com/princeartscollege?igsh=MTByY2xmMDFic2phYw==,,,,,2025-03-08 19:44:26,,2024-25,9.0,,submitted,,0,
329298,IC202013043,C24-25240853,Submitted,0,,Quarter II,,,,2024-25,1,Workshop on Effective Sales and Marketing Strategies for Entrepreneurs /Start-ups,Level 1 - Expert Talk,Entrepreneurship & Startup,,2024-10-12 00:00:00,2024-10-12 00:00:00,0,,90,5,,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/1498-08032025141722-IC202013043.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/3659-08032025141721-IC202013043.jpg,uploads-2024-25/institutes/monthlyReport/Photograph2/4628-08032025141722-IC202013043.jpg,0,,,The measurable marketing objectives allow teams to assess the effectiveness of their marketing campa,,"Awareness, Interest, Consideration, Purchase, Cold Emailing, Networking Events, Social Media Engagement, Partnership, Referral Programs",,0,,0,,,,,2025-03-08 19:47:22,,2024-25,2.0,,submitted,,0,
329300,IC202115945,C24-25240852,Submitted,0,,Quarter II,,,,2024-25,1,"Expert talk on ""Process of Innovation Development & Technology Readiness Level (TRL)"" & ""Commercialization of Lab Technologies & Tech-Transfer""",Level 1 - Expert Talk,Innovation & Design Thinking,,12/31/2024,12/31/2024,0,,165,3,1170.0,,,This seminar brings the knowledge of who will share insights into how AI is being used across different industries and how it is fueling innovation in ways that were once thought impossible.,offline,https://youtu.be/IoYZPV5iQa4?feature=shared,,,uploads-2024-25/institutes/monthlyReport/report/2820-08032025142518-IC202115945.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/7350-08032025142518-IC202115945.jpg,uploads-2024-25/institutes/monthlyReport/Photograph2/1077-08032025142518-IC202115945.jpg,0,,,To explore and discuss the transformative role of Artificial Intelligence (AI) in driving innovation,,"Enhanced Understanding of AI Concepts,Technologies &  & Awareness of Emerging Trends in AI",,0,https://www.facebook.com/profile.php?id=100064721261475&mibextid=JRoKGi,https://www.instagram.com/princeartscollege?igsh=MTByY2xmMDFic2phYw==,,,,,2025-03-08 19:55:18,,2024-25,2.0,,submitted,,0,
329301,IC202013043,C24-25240852,Submitted,0,,Quarter II,,,,2024-25,1,"Expert talk on ""Process of Innovation Development & Technology Readiness Level (TRL)"" & ""Commercialization of Lab Technologies & Tech-Transfer""",Level 1 - Expert Talk,Pre-Incubation & Incubation Management,,01/24/2025,01/24/2025,0,,120,3,2000.0,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/6603-08032025142526-IC202013043.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/8838-08032025142526-IC202013043.jpg,uploads-2024-25/institutes/monthlyReport/Photograph2/5220-08032025142526-IC202013043.jpg,0,,,"to discuss –Generating Ideas, capturing ideas, beginning innovation, developing a business- effectiv",,to understand the Innovation Development Process along with the concepts of TRL.technology readiness levels (TRLs),,0,0,0,,,,,2025-03-08 19:55:26,,2024-25,2.0,,submitted,,0,
329307,IC201811638,C24-25240198,Submitted,0,,Quarter I,,,,2024-25,1,Workshop on “Entrepreneurship and Innovation as Career Opportunity”,Level 2 - Workshop,Entrepreneurship & Startup,,11/21/2024,11/21/2024,0,0.0,82,4,,,,,offline,https://youtu.be/nmeJibLp7G8,,,uploads-2024-25/institutes/monthlyReport/report/2730-08032025144139-IC201811638.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/7995-08032025144139-IC201811638.jpeg,uploads-2024-25/institutes/monthlyReport/Photograph2/3479-08032025144139-IC201811638.jpeg,0,,,To  guide and motivate  students  to  develop their career in entrepreneurship  and  innovation,,Students looked excited  by the notion of being job provider rather than job seeker . The event will motivate students towards entrepreneurship,,0,0,,,,,,2025-03-08 20:11:39,,2024-25,5.0,,submitted,,0,
329311,IC202216773,C24-25240850,Submitted,0,,Quarter II,,,,2024-25,1,"Workshop on Design Thinking, Critical thinking and Innovation Design",Level 2 - Workshop,Entrepreneurship & Startup,,2024-12-12 00:00:00,2024-12-12 00:00:00,0,,19,5,,,,,offline,https://www.instagram.com/iic_shcollege_ckdy/reel/DDQxX6PT2wF/?hl=en,,,uploads-2024-25/institutes/monthlyReport/report/9362-08032025144643-IC202216773.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/7973-08032025144643-IC202216773.jpeg,uploads-2024-25/institutes/monthlyReport/Photograph2/8694-08032025144643-IC202216773.jpeg,0,,,"To foster creativity, critical thinking, and innovation through interactive learning.",,"Enhances problem-solving, boosts creativity, improves decision-making, and fosters innovation.",,0,0,,,,,,2025-03-08 20:16:43,,2024-25,5.0,,submitted,,0,
